Cf	cod_amm	des_amm	Comune	nome_resp	cogn_resp	Cap	Provincia	Regione	sito_istituzionale	Indirizzo	titolo_resp	tipologia_istat	tipologia_amm	acronimo	cf_validato	mail1	tipo_mail1	mail2	tipo_mail2	mail3	tipo_mail3	mail4	tipo_mail4	mail5	tipo_mail5	url_facebook	url_twitter	url_youtube	url_linkedin	liv_accessibili	alert	nb
02742340983	ascgs	Azienda Speciale Consortile Garda Sociale	Salo'	Davide	Boglioni	25087	BS	Lombardia	http://www.servizisocialigardabresciano.it/servizi/notizie/notizie_homepage.aspx	Piazza Carmine, 4	Direttore Generale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.gardasociale.it	pec	null	null	null	null	null	null	null	null				null	0		
02077690200	ascspam	Azienda Speciale Consortile Servizi alla Persona Alto Mantovano	Castiglione Delle Stiviere	Mauro	Bolda	46043	MN	Lombardia	www.aspam.it	Via Cesare Battisti, 4	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	aspam@altrapec.com	pec	null	null	null	null	null	null	null	null				null	0		1
01389620228	asia	Azienda Speciale per L'Igiene Ambientale	Lavis	Gianpaolo	Bonmassari	38015	TN	Trentino Alto Adige	www.asia.tn.it	Via Giuseppe Di Vittorio, 84	Direttore Generale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	ASIA	S	asialavis@pec.it	pec	ragioneria@asia.tn.it	altro	null	null	null	null	null	null				null	0		1
91025560078	asnsc	Associazione Asilo Nido Saint-christophe - Quart - Brissogne	Saint-Christophe	Paolo	Cheney	11020	AO	Valle D'Aosta	www.comune.saint-christophe.ao.it/datapage.asp?id=136&l=1	Loc. La Cure, 40	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	asilosqb.vda.it@pec.it	pec	info@asilosqb.vda.it	altro	null	null	null	null	null	null				null	0		
90038310612	asscs	Ambito Socio-Sanitario C6	Casaluce	Nazzaro	Pagano	81030	CE	Campania	www.comune.casaluce.ce.it	Via Salvador Allende 4	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	area.amministrativa@pec.comune.casaluce.ce.it	pec	ambitoc6@comune.casaluce.ce.it	altro	null	null	null	null	null	null					0		1
97529770154	assemi	Azienda Sociale Sud Est Milano	San Donato Milanese	Cristina	Gallione	20097	MI	Lombardia	www.incrocicomuni.it/servizi/notizie/notizie_homepage.aspx	Via Sergnano N. 2	Direttore Generale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	ASSEMI	S	fatt.elettronica.assemi@legalmail.it	pec	assemi@legalmail.it	pec	null	null	null	null	null	null				null	0		
02798790347	atespr	Agenzia Territoriale per L'Energia e La Sostenibilita' di Parma	Parma	Marco	Boschini	43123	PR	Emilia Romagna	www.atesparma.it	Viale Antonio Bizzozero	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	atesparma@pec.it	pec	null	null	null	null	null	null	null	null	https://www.facebook.com/SportelloEnergiaWebATES/			null	0		
02463980546	ati3pg	Ambito Territoriale Integrato 3	Foligno	Fausto	Galilei	06034	PG	Umbria	www.ati3umbria.it	P.zza XX Settembre, 15	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	ati3umbria@interfreepec.it	pec	info@ati3umbria.it	altro	null	null	null	null	null	null				null	0		
92058510857	atsgal	Ats Gal Terre del Nisseno	Montedoro	Federico	Messana	93010	CL	Sicilia	www.galterredelnisseno.it	Piazza Umberto I, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	galterredelnisseno@arubapec.it	pec	null	null	null	null	null	null	null	null					0		1
05540510871	atsmag	Associazione Temporanea di Scopo Maguli	Caltagirone	Giovanni	Ioppolo	95041	CT	Sicilia		Piazza Municipio, 5	Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	ATS Maguli	S	ats.maguli@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		
96021540826	atsms	Ats Madonie Sud	Gangi	Francesco Paolo	Migliazzo	90024	PA	Sicilia	www.comune.gangi.pa.it	Salita Municipio, 2	Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	ATS MADONIE SUD	S	andalorocataldo@pec.comune.gangi.pa.it	pec	null	null	null	null	null	null	null	null				null	0		1
00197650294	B432	Comune di Calto	Calto	Michele	Fioravanti	45030	RO	Veneto	www.comune.calto.ro.it	Piazza IV Novembre 165	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.calto.ro@pecveneto.it	pec	protocollo@comune.calto.ro.it	altro	null	null	null	null	null	null				null	3		1
80024440283	bpa	Consorzio Biblioteche Padovane Associate	Abano Terme	Daniele	Ronzoni	35031	PD	Veneto	www.bpa.pd.it	Via Matteotti, 71	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	BPA	S	consorziobpa@pec.it	pec	info@bpa.pd.it	altro	null	null	null	null	null	null				null	0		
82000470607	ca081	Comune di Villa Latina	Villa Latina	Luigi	Rossi	03040	FR	Lazio	www.comunevillalatina.fr.it	Piazza Umberto I, 10	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunevillalatinaanagrafe@pec.it	pec	comunevillalatina@virgilio.it	altro	ragioneriavillalatina@gmail.com	altro	null	null	null	null				null	0		
00279250047	cabmar	Consorzio Acquedotto Benevello - Montelupo Albese - Rodello	Rodello	Mauro	Rapalino	12050	CN	Piemonte		Piazza Comunale, 6	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	acquedotto.bmr@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		
00086470572	cacoms	Consorzio Acquedotto Comuni Media Sabina	Casperia	Vincenzo	Leti	02041	RI	Lazio	www.consorziomediasabina.it	Via Municipio, 5	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorzioacquedotto.casperia.ri@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		1
90011590578	caidp	Consorzio Acquedotto Intercomunale del Peschiera	Fara in Sabina	Davide	Basilicata	02032	RI	Lazio	www.farainsabina.gov.it	Via Santa Maria In Castello 12	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorziopeschiera@pec.it	pec	consorziopeschiera@gmail.com	altro	null	null	null	null	null	null				null	0		1
02435150046	camct	Consorzio Acquedotto Moretta-Carde-Torre San Giorgio	Moretta	Mariagrazia	Manfredi	12033	CN	Piemonte	comune.moretta.cn.it	12033	Segretario Comunale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorzioacquedotto@businesspec.it	pec	null	null	null	null	null	null	null	null					0		1
84000010060	camdr	Consorzio Acquedotto Madonna della Rocchetta	Mornese	Gian Franco	Caviggia	15075	AL	Piemonte	www.comune.mornese.al.it	Via A. Doria, 49	Segretario	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorziomdr@pec.it	pec	cons.acquedottomdr@libero.it	altro	null	null	null	null	null	null				null	0		1
03908900586	camt	Consorzio Acquedotto Medio Tirreno in Liquidazione	Civitavecchia	Franco	Grassi	00053	RM	Lazio	www.acquemediotirreno.it	Via Palmiro Togliatti n. 13	Presidente Commissione Di Liquidazione	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	acquedottomediotirreno@pec.it	pec	amministrazione@acquemediotirreno.it	altro	null	null	null	null	null	null				null	0		
94550840014	capin	Consorzio Acea Pinerolese	Pinerolo	Luca	Salvai	10064	TO	Piemonte	www.consorzioaceapinerolese.it	Via Vigone, 42	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorzio@pec.consorzioaceapinerolese.it	pec	null	null	null	null	null	null	null	null				null	0		
02554940136	car	Consorzio Depurazione Acque Reflue Comprensorio Torrente Livescia	Fino Mornasco	Gianmario	Riva	22073	CO	Lombardia		Via Garibaldi	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	daniello.arrighi@lamiapec.it	pec	amministrazione.daniello@gmail.com	altro	null	null	null	null	null	null				null	0		
06682240723	carbba	Consorzio Ato Rifiuti Bacino Ba1	Andria	Nicola	Giorgino	76123	BT	Puglia		Piazza Umberto I	Commissario Liquidatore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	Consorzio ATO Ba1	S	unionearo2bt@pec.it	pec	null	null	null	null	null	null	null	null				null	0		
02254940121	cass	Consorzio A.S.S. Albizzate Solbiate	Albizzate	Maria Teresa	Grossi	21041	VA	Lombardia	www.comune.albizzate.va.it	Piazza Iv Novembre, 2	Presidente Consiglio Di Amministrazione	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorzioservizisociali@halleypec.it	pec	patrizia.brotto@comune.albizzate.va.it	altro	null	null	null	null	null	null				null	0		
01848280168	cat	Consorzio Ambiente Territorio e Servizi	Filago	Oliviero	Locatelli	24040	BG	Lombardia	www.consorzioats.it	Piazza Dante 12	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorzioats@pecm.it	pec	consorzioats@consorzioats.it	altro	null	null	null	null	null	null				null	0		
00251130621	catcfm	Consorzio Acquedotto Tra I Comuni di Fragneto Monforte e Fragneto L'Abate	Fragneto Monforte	Luigi	Panaggio	82020	BN	Campania	www.comune.fragnetomonforte.bn.it	Piazza Aldo Moro, 4	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorzioacquedotto.fragnetomfragnetoa.bn@pec.it	pec	null	null	null	null	null	null	null	null				null	0		
03686280136	cavinte	Comune di Alta Valle Intelvi	Alta Valle Intelvi	MARCELLO	GRANDI	22014	CO	Lombardia	www.comune.altavalleintelvi.co.it	Piazza Martino Novi, 2	SINDACO	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.altavalleintelvi@pec.it	pec	null	null	null	null	null	null	null	null				null	0		1
80018050338	cavn	Consorzio Acquedotto Val Nure	Bettola	Primino	Provini	29021	PC	Emilia Romagna	www.consorzionure.it	Piazza Colombo, 5	Amministratore Unico	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.consorzionure.it	pec	info@consorzionure.it	altro	null	null	null	null	null	null				null	0		
00334690096	cb369	Comune di Cairo Montenotte	Cairo Montenotte	Paolo	Lambertini	17014	SV	Liguria	www.comunecairomontenotte.gov.it	Corso Italia 45	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comunecairomontenotte.gov.it	pec	protocollo@comunecairo.it	altro	null	null	null	null	null	null	https://www.facebook.com/comunecairomontenotte	https://twitter.com/comunecairo	https://www.youtube.com/user/comunecairo	null	0		1
81000450023	cb417	Comune di Callabiana	Callabiana	Lorenzo	Vercellotti	13821	BI	Piemonte	www.comune.callabiana.bi.it	Frazione Fusero 3	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	callabiana@pec.ptbiellese.it	pec	callabiana@ptb.provincia.biella.it	altro	null	null	null	null	null	null				null	0	1	1
00462520305	cbcar	Consorzio Boschi Carnici	Tolmezzo	Luigi	Cacitti	33028	UD	Friuli Venezia Giulia	www.consorzioboschicarnici.it	Via Carnia Libera,1944	Presidente Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	posta@pec.consorzioboschicarnici.it	pec	null	null	null	null	null	null	null	null				null	0		
80029140037	cbn	Consorzio di Bacino Basso Novarese	Novara	Francesco	Ardizio	28100	NO	Piemonte	www.cbbn.it/	Via Socrate, 1 A	Dirigente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	CBN	S	fatture@pec.cbbn.it	pec	null	null	null	null	null	null	null	null				null	0		
00092850577	cbsap	Consorzio Bassa Sabina Acqua Peschiera	Forano	Gian Luca	Farina	02044	RI	Lazio	www.consorzioacquapeschiera.it	Via Del Passeggio, 2	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	posta@pec.consorzioacquapeschiera.it	pec	null	null	null	null	null	null	null	null				null	0		1
08841520011	ccaip	Consorzio Canavesano Ambiente	Ivrea	Maurizio	Perinetti	10015	TO	Piemonte	https://www.comune.ivrea.to.it/entra-in-comune/amministrazione-trasparente/enti-controllati.html	Piazza Vittorio Emanuele Ii	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	ccaconsorziocanavesanoambiente@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		
00568900120	ccbbbm	Consorzio Fra I Comuni di Bardello-Biandronno-Bregano e Malgesso per Il Completamento Impianto Idrico	Bardello	Francesco	Ziviani	21020	VA	Lombardia	www.consorzioacquedottobbbm.it	Via Giacomo Matteotti, 2	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	CONSORZIO BBBM	S	consorzio.acquedottobbbm@pec.regione.lombardia.it	pec	ragioneria@comune.bardello.va.it	altro	null	null	null	null	null	null				null	0		
80024840631	cccfgnf	Consorzio Cimiteriale Fra I Comuni di Frattamaggiore Grumo Nevano e Frattaminore	Frattamaggiore	Sossio	Farina	80027	NA	Campania	www.consorziocimiterialefrattamaggiore.it	Via Lupoli Snc Frattamaggiore	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorziofratta@pec.it	pec	consorziofratta@libero.it	altro	null	null	null	null	null	null				null	0		
81003050226	ccft	Consorzio Custodia Forestale di Telve	Telve	Patrizio	Ferrai	38050	TN	Trentino Alto Adige		Piazza Vecchia, 18	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	ragioneria@pec.comune.telve.tn.it	pec	segretario@cfctelve.it	altro	null	null	null	null	null	null				null	0		
02139820902	cclega	Consorzio Cultura e Legalita	Ittiri	Antonio	Sau	07044	SS	Sardegna	www.comune.ittiri.ss.it	Via San Francesco, 1	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	gerolama.carta@pec.comune.ittiri.ss.it	pec	null	null	null	null	null	null	null	null				null	0		1
91059000330	ccpavn	Consorzio Casa Protetta Alta Val Nure	Farini	Celestina	Mulazzi	29023	PC	Emilia Romagna		Localita Borcaglie	Presidente C.d.a.	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	casaprotetta.altavalnure@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		
90060100477	cdacuti	Comune di Abetone Cutigliano	Cutigliano	Diego	Petrucci	51024	PT	Toscana	www.comune.abetonecutigliano.pt.it	Piazza Umberto I, 1	Sindaco - Rappresentante Legale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	abetonecutigliano@postacert.toscana.it	pec	comune@comune.abetonecutigliano.pt.it	altro	null	null	null	null	null	null				null	0		1
81000470906	cdb_ot	Comune di Budduso'	Budduso'	Giovanni Antonio	Satta	07020	OT	Sardegna	www.comunebudduso.gov.it	Piazza Fumu	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comunebudduso.gov.it	pec	protocollo@comunebudduso.gov.it	altro	null	null	null	null	null	null				null	2		1
00689620573	cdcmuaf	Consorzio Dei Comuni per Il Museo Territoriale dell'Agro Foronovano	Torri In Sabina	Marco	Cossu	02049	RI	Lazio		Piazza Roma, 6	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	consorziomuseo@pec.it	pec	null	null	null	null	null	null	null	null				null	0		
02624260416	cdcoame	Comune di Colli al Metauro	Colli al Metauro	Camillo	Conti	61030	PU	Marche	www.comune.collialmetauro.pu.it	Via Marconi, 1	Responsabile Servizi Informatici	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.collialmetauro@pecitaly.it	pec	null	null	null	null	null	null	null	null				null	0		
96055570061	cdcss	Centrale Unica di Committenza Dei Comuni di San Salvatore Monferrato e Pecetto di Valenza	San Salvatore Monferrato	Corrado	Tagliabue	15046	AL	Piemonte		Piazza Carmagnola ,26	Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cuc.sansalvatore.pecetto@pec.e-volution.it	pec	null	null	null	null	null	null	null	null				null	0		
01440500526	cdmo	Comune di Montalcino	Montalcino	Paolo	Volpi	53024	SI	Toscana	www.comunedimontalcino.gov.it	Piazza Cavour, 13	Responsabile Attivita' Finanziarie	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.comunedimontalcino.it	pec	null	null	null	null	null	null	null	null				null	0		1
02168230791	cdmps	Consorzio di Metanizazzazione Pre-Serre	Chiaravalle Centrale	Manuela	Maltese	88064	CZ	Calabria	http://www.consorziopreserre.it/	Via Francesco Spasari, 111	Responsabile	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	PRESERRE	S	amm@pec.consorziopreserre.it	pec	null	null	null	null	null	null	null	null				null	0		1
90060110476	cdsmpi	Comune di San Marcello Piteglio	San Marcello Pistoiese	Luca	Marmo	51028	PT	Toscana	www.comune-sanmarcellopiteglio.info	Via Pietro Leopoldo, 24	Sindaco pro tempore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunedisanmarcellopiteglio@pec.it	pec	null	null	null	null	null	null	null	null				null	0		
82006340796	cdss	Comune di Serrastretta	Serrastretta	Felice Maria	Molinaro	88040	CZ	Calabria	www.comune.serrastretta.cz.it	Via Municipio	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	segretario.serrastretta@asmepec.it	pec	demografici.serrastretta@asmepec.it	pec	 cuc.serrastretta@asmepec.it	pec	 ragioneria.serrastretta@asmepec.it	pec	 protocollo.serrastretta@asmepec.it	pec				null	0		1
07305160017	cdssac	Consorzio dei Servizi Socio Assistenziali del Chierese	Chieri	Rita Rossana	Giacalone	10023	TO	Piemonte	www.servizisocialichieri.it	Strada Valle Pasano, 4	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	PA	S	protocollocssac@pec.it	pec	direttore@cssac.it	altro	null	null	null	null	null	null					0		1
01988940381	cdtdr	Comune di Terre del Reno	Terre del Reno	Roberto	Lodi	44047	FE	Emilia Romagna	www.comune.terredelreno.fe.it	Via Giacomo Matteotti, 7	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.terredelreno@pec.it	pec	segreteriagenerale@comune.terredelreno.fe.it	altro	null	null	null	null	null	null				null	0		1
02624290413	cdtro	Comune di Terre Roveresche	Terre Roveresche	Monica	Testaguzza	61038	PU	Marche	www.comune.terreroveresche.pu.it	Piazzale Della Ripa	Responsabile Area Finanziaria	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.terreroveresche@pecitaly.it	pec	comune.terreroveresche@provincia.ps.it	altro	null	null	null	null	null	null				null	0		1
80010620120	cdvb	Consorzio della Valbossa	Azzate	Gianmario	Bernasconi	21022	VA	Lombardia	www.consorziovalbossa.it	Via Castellani, 1	Presidente E Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	valbossa	S	info@pec.consorziovalbossa.it	pec	null	null	null	null	null	null	null	null				null	0		1
92016250752	cea	C.E.A. Centro di Educazione Ambientale Delle Serre Salentine	Poggiardo	Antonio	Fitto	73037	LE	Puglia	www.ceaserresalentine.it	Via A. Moro, 1	Presidente Cda	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	CEA	S	ceasalento@pec.it	pec	null	null	null	null	null	null	null	null				null	0		1
80012270049	cecu	Consorzio Ecologico Cuneese	Cuneo	Pier Giacomo	Quiriti	12100	CN	Piemonte	www.cec-cuneo.it	Via Roma, 28	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.cec-cuneo.it	pec	info@cec-cuneo.it	altro	null	null	null	null	null	null				null	1		
03406400659	cfi	Consorzio Farmaceutico Intercomunale	Salerno	Francesco	Sorrentino	84131	SA	Campania	www.consorfarm.it	Via San Leonardo Trav. Migliaro	Direttore Generale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	salerno@assofarm.postecert.it	pec	r.nesi@consofarm.it	altro	null	null	null	null	null	null				null	0		
80016440226	cfp	Consorzio Forestale Pinetano	Baselga Di Pine'	Roberto	Giovannini	38042	TN	Trentino Alto Adige		Via Cesare Battisti, 7	Presidente	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune@pec.comune.bedollo.tn.it	pec	personale@comunebedollo.it	altro	null	null	null	null	null	null				null	0		
00222050429	cfra	Consorzio Frasassi	Genga	Luigino	Quarchioni	60040	AN	Marche	www.consorziofrasassi.it	Largo Leone Xii,1	Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	frasassi@pec.it	pec	segreteria@frasassi.com	altro	null	null	null	null	null	null				null	0		
02335530461	cfv	Comune di Fabbriche di Vergemoli	Fabbriche di Vergemoli	Marta	Giovannetti	55021	LU	Toscana	www.comune.fabbrichedivergemoli.lu.it	Loc. Campaccio, 2	Servizio Finanziaro	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.fabbrichedivergemoli@postacert.toscana.it	pec	info@comune.fabbrichedivergemoli.lu.it	altro	null	null	null	null	null	null				null	0		1
00292150240	cgdrspp	Consorzio per La Gestione del Demanio Civico Ed Esercizio Degli Usi Civici di Rotzo - San Pietro e Pedescala	Rotzo	Romano	Filippi	36010	VI	Veneto		Via Roma, 49	Commissario Straordinario	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	demaniocivico@pec.it	pec	null	null	null	null	null	null	null	null				null	0		
01976140564	cgoa	Consorzio per La Gestione dell'Osservatorio Ambientale	Tarquinia	Giovanni	Marsili	01016	VT	Lazio	ambientale.org/	Via Delle Saline, 18	Presidente Del Comitato Di Gestione	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	fatture@pec.ambientale.org	pec	info@ambientale.org	altro	null	null	null	null	null	null				null	0		
00735200958	cg_f727	Consorzio di Gestione del Parco Naturale Regionale del Monte Arci	Morgongiori	Francesco	Cossu	09090	OR	Sardegna	www.parcomontearci.it	Via Roma Snc	Segretario - Direttore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.parcomontearci.it	pec	info@parcomontearci.it	altro	tecnico.parcomontearci@pec.it	pec	null	null	null	null				null	0		1
00246170088	ch956	Comune di San Lorenzo al Mare	San Lorenzo al Mare	Paolo	Tornatore	18017	IM	Liguria	www.comune.sanlorenzoalmare.im.it	Via Aurelia,70	Sindaco Pro-tempore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	sanlorenzoalmare.im@cert.legalmail.it	pec	comune@comune.sanlorenzoalmare.im.it	altro	null	null	null	null	null	null				null	0	1	1
02359760713	ciabfg4	Consorzio di Igiene Ambientale Bacino Fg4	Cerignola	FRANCESCO	METTA	71042	FG	Puglia	www.consorzio-fg4.it	Piazza Della Repubblica, Snc	Presidente Del Consorzio	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.consorzio-fg4.it	pec	info@consorzio-fg4.it	altro	null	null	null	null	null	null				null	0		1
