cf,Regione,Provincia,des_amm,URLrobots,url,cod_amm,Comune,nome_resp,cogn_resp,Cap,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_youtube,url_linkedin,liv_accessibili,HTTPreply,robots
00052090958,Sardegna,OR,Comune di Oristano,,www.comune.oristano.it,c_g113,Oristano,Andrea,Lutzu,09170,www.comune.oristano.it,Piazza Eleonora 44,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,istituzionale@pec.comune.oristano.it,pec,protocollo@comune.oristano.it,altro,null,null,null,null,null,null,,https://twitter.com/ComuneOristano,https://www.youtube.com/channel/UCKMGt7y3jfHYS2vVXCFHNYw?view_as=subscriber,null,3,404,
00052420866,Sicilia,EN,Comune di Assoro,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00052420866.txt,www.comuneassoro.gov.it,c_a478,Assoro,Antonio,Licciardo,94010,www.comuneassoro.gov.it,"Via Crisa, 280",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,ASSORINI,S,info@pec.comune.assoro.en.it,pec,info@comune.assoro.en.it,altro,null,null,null,null,null,null,https://www.facebook.com/licciardosindaco/,,http://www.youtube.com/watch?v=QTykaE5CPgk,,3,200,x
00052840915,Sardegna,NU,Comune di Bolotana,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00052840915.txt,www.comune.bolotana.nu.it,c_a948,Bolotana,Marco,Mura,08011,www.comune.bolotana.nu.it,Piazza Del Popolo N. 2,Responsabile Settore AA.GG.,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.bolotana.nu.it,pec,affarigenerali@pec.comune.bolotana.nu.it,pec,ufficiotecnico@pec.comune.bolotana.nu.it,pec,null,null,null,null,,,,null,0,200,x
00053070918,Sardegna,NU,Comune di Nuoro,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00053070918.txt,www.comune.nuoro.it,c_f979,Nuoro,Andrea,Soddu,08100,www.comune.nuoro.it,"v. Dante, 44",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.nuoro.it,pec,null,null,null,null,null,null,null,null,,,,null,1,200,x
00053710943,Molise,IS,Comune di Sant'Agapito,,www.comune.sant-agapito.is.it,c_i189,Sant'Agapito,Giuseppe,Di Pilla,86070,www.comune.sant-agapito.is.it,Via Roma 47,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,sindaco.santagapito@pec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00053930384,Emilia Romagna,FE,Comune di Copparo,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00053930384.txt,www.comune.copparo.fe.it,c_c980,Copparo,Nicola,Rossi,44034,www.comune.copparo.fe.it,"Via Roma, 28",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.copparo@cert.comune.copparo.fe.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00054410709,Molise,CB,Comune di Ripabottoni,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00054410709.txt,www.comune.ripabottoni.cb.it,c_h311,Ripabottoni,Civetta,Orazio,86040,www.comune.ripabottoni.cb.it,"Corso Garibaldi, 19",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,amministrazione@pec.comuneripabottoni.it,pec,amministrazione@comuneripabottoni.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00054500707,Molise,CB,Comune di Limosano,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00054500707.txt,www.comune.limosano.cb.it,c_e599,Limosano,Angela,Amoroso,86022,www.comune.limosano.cb.it,"Piazza Vittorio Emanuele, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunelimosano.cb@postecert.it,pec,comunelimosano@hotmail.com,altro,null,null,null,null,null,null,,,,null,0,200,x
00055450944,Molise,IS,Comune di Pettoranello del Molise,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00055450944.txt,www.comune.pettoranellodelmolise.is.it,c_g523,Pettoranello del Molise,ANDREA,NINI,86090,www.comune.pettoranellodelmolise.is.it/,"Piazza Marconi, 30",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.pettoranello.is@pec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00055460943,Molise,IS,Comune di Pesche,,www.comune.pesche.is.it,c_g486,Pesche,Ido,De Vincenzi,86090,www.comune.pesche.is.it,"Via Arciprete Biondi, 53",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunedipesche@pec.comune.pesche.is.it,pec,pesche@comune.pesche.is.it,altro,null,null,null,null,null,null,,,,null,0,404,
00056590896,Sicilia,SR,Comune di Rosolini,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00056590896.txt,www.comune.rosolini.sr.it,c_h574,Rosolini,Giuseppe,Incatasciato,96019,www.comune.rosolini.sr.it,"Via Roma, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.rosolini.sr.it,pec,comune.rosolini@gmail.com,altro,null,null,null,null,null,null,,,,null,0,200,x
00056600943,Molise,IS,Comune di Belmonte del Sannio,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00056600943.txt,www.comune.belmontedelsannio.is.it,c_a761,Belmonte del Sannio,Errico,Borrelli,86080,www.comune.belmontedelsannio.is.it,Via Roma N.5,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,belmontedelsannio@pec.leonet.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00056650948,Molise,IS,Comune di Poggio Sannita,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00056650948.txt,www.comune.poggiosannita.is.it,c_b317,Poggio Sannita,GIUSEPPE,ORLANDO,86086,www.comune.poggiosannita.is.it,Corso Umberto I 72,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.poggiosannita@pec.leonet.it,pec,info@comune.poggiosannita.is.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00056870942,Molise,IS,Comune di Sessano del Molise,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00056870942.txt,www.comune.sessanodelmolise.is.it,c_i679,Sessano del Molise,Giuseppe,D'Ippolito,86097,www.comune.sessanodelmolise.is.it,"Via Della Chiesa, 5",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protsessanodelmolise@pec.it,pec,null,null,null,null,null,null,null,null,,,,null,1,200,x
00057170946,Molise,IS,Comune di Capracotta,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00057170946.txt,www.capracotta.com,c_b682,Capracotta,Antonio Vincenzo,Monaco,86082,www.capracotta.com,Piazza Stanislao Falconi,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,tributi.capracotta@anutel.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00058880865,Sicilia,EN,Comune di Nissoria,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00058880865.txt,www.comune.nissoria.en.it,C_f900,Nissoria,Armando,Glorioso,94010,www.comune.nissoria.en.it/,"Via Vittorio Emanuele, 135",Muscolino Gaetano,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.nissoria.en.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00059460949,Molise,IS,Comune di Miranda,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00059460949.txt,www.comune.miranda.is.it,c_f239,Miranda,Domenico,Marucci,86080,www.comune.miranda.is.it,"Piazza Rossini, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunedimiranda@pec.it,pec,comunedimiranda@libero.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00060670700,Molise,CB,Comune di Bonefro,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00060670700.txt,egov.hseweb.it/bonefro/hh,c_a971,Bonefro,Giuseppe,Montagano,86041,egov.hseweb.it/bonefro/hh/,"Via Xx Settembre, 98",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.bonefrocb@legalmail.it,pec,comunedibonefro@tin.it,altro, calandrella@tiscali.it,altro,null,null,null,null,,,,null,0,200,x
00060680949,Molise,IS,Comune di Cantalupo nel Sannio,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00060680949.txt,www.comune.cantalupo.is.it,c_b630,Cantalupo nel Sannio,Claudio,Biondi,86092,www.comune.cantalupo.is.it/,"Via Fiume, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunecantaluponelsannio@pec.it,pec,c.cantalupo@tin.it,altro,fatturapacantalupons@pec.it,pec,null,null,null,null,,,,null,0,200,x
00060850906,Sardegna,OT,Comune di Monti,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00060850906.txt,www.comune.monti.ss.it,c_f667,Monti,Avv Emanuele Antonio,Mutzu,07020,www.comune.monti.ss.it,"Via Regione Sarda, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,monti@pec.comune.monti.ss.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00061330627,Campania,BN,Comune di Paupisi,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00061330627.txt,www.comune.paupisi.bn.gov.it,c_g386,Paupisi,Antonio,Coletta,82030,www.comune.paupisi.bn.gov.it,Largo G. De Marco 2,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,segreteria@pec.comune.paupisi.bn.it,pec,sindacopaupisi@virgilio.it,altro,comunedipaupisi@gmail.com,altro,null,null,null,null,https://www.facebook.com/pages/Comune-di-Paupisi/261802037357883?fref=nf,,,null,0,200,x
00062380944,Molise,IS,Comune di Filignano,,comune.filignano.is.it,c_d595,Filignano,Lorenzo,Coia,86074,comune.filignano.is.it,"Piazza Municipio, 7",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.filignano@pec.leonet.it,pec,protocollo@comune.filignano.is.it,altro,null,null,null,null,null,null,,,,null,0,404,
00063150957,Sardegna,OR,Comune di Terralba,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00063150957.txt,comune.terralba.or.it,c_l122,Terralba,Sandro,Pili,09098,comune.terralba.or.it,"v. Bacelli, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.terralba@cert.legalmail.it,pec,ufficiotecnico@pec.comune.terralba.or.it,pec,serviziofinanziario@pec.comuneterralba.it,pec,suap@pec.comuneterralba.it,pec,ufficioelettorale@pec.comuneterralba.it,pec,,,,null,0,200,x
00063640684,Abruzzo,PE,Comune di Citta' Sant'Angelo,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00063640684.txt,www.comune.cittasantangelo.pe.it,c_c750,Citta' Sant'Angelo,Matteo,Perazzetti,65013,www.comune.cittasantangelo.pe.it,Piazza IV Novembre 1,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.cittasantangelo@pec.it,pec,ufficiotributi.comune.cittasantangelo@pec.it,pec,null,null,null,null,null,null,,,,,0,200,x
00064230956,Sardegna,OR,Comune di Narbolia,,www.comune.narbolia.or.it,c_f840,Narbolia,Maria Giovanna,Pisanu,09070,www.comune.narbolia.or.it/,"Via Umberto,22",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.narbolia@pec.comunas.it,pec,protocollo@comune.narbolia.or.it,altro,null,null,null,null,null,null,,,,null,0,404,
00064240310,Friuli Venezia Giulia,GO,Comune di Grado,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00064240310.txt,www.comunegrado.it,c_e125,Grado,Dario,Raugna,34073,www.comunegrado.it,"Piazza Biagio Marin, 4",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.grado@certgov.fvg.it,pec,protocollo@comunegrado.it,altro,null,null,null,null,null,null,https://www.facebook.com/ComunediGrado,https://twitter.com/comunedigrado,http://www.youtube.com/ComuneDiGrado,null,0,200,x
00064560709,Molise,CB,Comune di Trivento,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00064560709.txt,www.comune.trivento.cb.it,c_l435,Trivento,Pasquale,Corallo,86029,www.comune.trivento.cb.it,Via Torretta N.6,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.trivento@pec.it,pec,segreteria@comunetrivento.it,altro,settoreragioneria@comunetrivento.it,altro,settoretecnico@comunetrivento.it,altro,null,null,,,,,3,200,x
00065080707,Molise,CB,Comune di Casacalenda,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00065080707.txt,www.comune.casacalenda.cb.it,c_b858,Casacalenda,Sabrina,Lallitto,86043,www.comune.casacalenda.cb.it,"Corso Roma, 78",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,EELL,S,info.casacalenda@pec.it,pec,ragioneria.casacalenda@pec.it,pec,tributi.casacalenda@pec.it,pec,anagrafe.casacalenda@pec.it,pec,poliziamunicipale.casacalenda@pec.it,pec,https://facebook.com/comune.casacalenda,http://twitter.com/comunekalena,,null,2,200,x
00065400707,Molise,CB,Comune di Pietracupa,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00065400707.txt,www.comune.pietracupa.cb.it,c_g610,Pietracupa,MARIO,SANTILLI,86020,www.comune.pietracupa.cb.it,"Via Casaleno,1",RESPONSABILE FINANZIARIO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunedipietracupa@pec.it,pec,comunedipietracupa@virgilio.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00065540569,Lazio,VT,Comune di Civita Castellana,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00065540569.txt,www.comune.civitacastellana.vt.it,c_c765,Civita Castellana,Franco,Caprioli,01033,www.comune.civitacastellana.vt.it,"Piazza Matteotti, 3",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.civitacastellana@legalmail.it,pec,dataceter@comune.civitacastellana.vt.it,altro,ragioneria.civitacastellana@pec.it,pec,null,null,null,null,,,,,0,200,x
00066290701,Molise,CB,Comune di San Massimo,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00066290701.txt,www.comune.sanmassimo.cb.it,c_i023,San Massimo,Alfonso,Leggieri,86027,www.comune.sanmassimo.cb.it,Via Roma,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.sanmassimo@pec.it,pec,comune.sanmassimo@libero.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00067060947,Molise,IS,Comune di Agnone,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067060947.txt,www.comune.agnone.is.it,c_a081,Agnone,MICHELE,CAROSELLA,86081,www.comune.agnone.is.it,"Via G. Verdi, 9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.agnone@legalmail.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00067190942,Molise,IS,Comune di Pescolanciano,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067190942.txt,www.comune.pescolanciano.is.it,c_g495,Pescolanciano,Manolo,Sacco,86097,www.comune.pescolanciano.is.it,"Via Roma,65",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunepescolanciano@pec.it,pec,ragioneria@comune.pescolanciano.is.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00067360941,Molise,IS,Comune di Civitanova del Sannio,,www.comune.civitanovadelsannio.is.it,c_c769,Civitanova del Sannio,Roberta,Ciampittiello,86094,www.comune.civitanovadelsannio.is.it,"Corso Cardarelli, 12",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,amministrativo.civitanovadelsannio@pec.leonet.it,pec,info@comune.civitanovadelsannio.is.it,altro,null,null,null,null,null,null,,,,null,0,404,
00067470948,Molise,IS,Comune di Chiauci,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067470948.txt,www.comune.chiauci.is.it,c_c620,Chiauci,Mario,Adduci,86097,www.comune.chiauci.is.it/,Via Municipio N. 14,Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunedichiauci@pec.it,pec,comune@comune.chiauci.is.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00067510701,Molise,CB,Comune di San Martino in Pensilis,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067510701.txt,www.comune.sanmartinoinpensilis.cb.it,c_h990,San Martino in Pensilis,Antonio,D'Adderio,86046,www.comune.sanmartinoinpensilis.cb.it,"Via Croce, 34",Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.sanmartinoinpensiliscb@legalmail.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00067530709,Molise,CB,Comune di Termoli,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067530709.txt,www.comune.termoli.cb.it,c_l113,Termoli,ANGELO,SBROCCA,86039,www.comune.termoli.cb.it,"v. Sannitica, 5",SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.termoli.cb.it,pec,null,null,null,null,null,null,null,null,https://www.facebook.com/pages/Comune-di-Termoli/731567053574230,https://twitter.com/ComuneTermoli,,null,0,200,x
00067590703,Molise,CB,Comune di Civitacampomarano,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067590703.txt,www.comune.civitacampomarano.cb.it,c_c764,Civitacampomarano,Paolo,Manuele,86030,www.comune.civitacampomarano.cb.it,"corso XXIV maggio, 44/A",Sindaco pro-tempore,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.civitacampomaranocb@legalmail.it,pec,comune@comune.civitacampomarano.cb.it,altro,ufficio.ragioneria@comune.civitacampomarano.cb.it,altro,ufficio.tecnico@comune.civitacampomarano.cb.it,altro,ufficio.amministrativo@comune.civitacampomarano.cb.it,altro,,,,null,0,200,x
00067610956,Sardegna,OR,Comune di Bonarcado,,www.comune.bonarcado.or.it,c_a960,Bonarcado,Francesco,Pinna,09070,www.comune.bonarcado.or.it,Corso Italia 140,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.bonarcado.or.it,pec,ragioneria@cert.comune.bonarcado.or.it,pec,ufficiotecnicomanutenzioni@pec.comune.bonarcado.or.it,pec,personale-suap@comune.bonarcado.or.it,altro,null,null,,,,null,0,404,
00067770941,Molise,IS,Comune di Pozzilli,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067770941.txt,www.comune.pozzilli.is.it,c_g954,Pozzilli,Stefania,Passarelli,86077,www.comune.pozzilli.is.it,Viale delle Industrie snc,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,pec@pec.comune.pozzilli.is.it,pec,comunepozzilli@comune.pozzilli.is.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00067840850,Sicilia,CL,Comune di Mazzarino,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00067840850.txt,comune.mazzarino.cl.it,c_f065,Mazzarino,Vincenzo,Marino,93013,comune.mazzarino.cl.it,Piazza Vittorio Veneto 1,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.mazzarino.cl.it,pec,servizidemografici@pec.comune.mazzarino.cl.it,pec,null,null,null,null,null,null,,,,null,0,200,x
00068380955,Sardegna,OR,Comune di San Vero Milis,,www.comune.sanveromilis.or.it,c_i384,San Vero Milis,Luigi,Tedeschi,09070,www.comune.sanveromilis.or.it,Via Eleonora D'Arborea N. 5 San Vero Milis,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.sanveromilis.or.it,pec,protocollo@comune.sanveromilis.or.it,altro,sociale@comune.sanveromilis.or.it,altro,anagrafe@comune.sanveromilis.or.it,altro,ragioneria@comune.sanveromilis.or.it,altro,,,,null,2,404,
00068560911,Sardegna,OG,Comune di Tortoli,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00068560911.txt,www.comuneditortoli.it,c_a355,Tortoli',Giampaolo Massimo,Cannas,08048,www.comuneditortoli.it,"Via Garibaldi, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comuneditortoli.it,pec,protocollo@comuneditortoli.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00068600956,Sardegna,OR,Comune di Abbasanta,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00068600956.txt,www.comune.abbasanta.or.it,c_a007,Abbasanta,Stefano,Sanna,09071,www.comune.abbasanta.or.it,Via Garibaldi N. 144,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.abbasanta.or.it,pec,ragioneria@pec.comune.abbasanta.or.it,pec,suap@pec.comune.abbasanta.or.it,pec,ufficiotecnico@pec.comune.abbasanta.or.it,pec,demografico@pec.comune.abbasanta.or.it,pec,,,,null,0,200,x
00068900950,Sardegna,OR,Comune di Santu Lussurgiu,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00068900950.txt,www.comunesantulussurgiu.it,c_i374,Santu Lussurgiu,Loi,Diego,09075,www.comunesantulussurgiu.it,"Viale Azuni, 62",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,segreteria.santulussurgiu@pec.comunas.it,pec,demografico.santulussurgiu@pec.comunas.it,pec,tributi.santulussurgiu@anutel.it,pec,geom.ardu@pec.it,pec,protocollo.santulussurgiu@pec.comunas.it,pec,,,,null,0,200,x
